"";"Alexander Bah";"Anatoliy Trubin";"Angel Di Maria";"Arthur Cabral";"Chiquinho";"David Jurasek";"David Neres";"Fredrik Aursnes";"Joao Neves";"Juan Bernat";"Morato";"Nicolas Otamendi";"Orkun Kokcu";"Petar Musa";"Rafa Silva";"Tomas Araujo "
"Alexander Bah";0;0;0.143;0;0;0;0.071;0.071;0.214;0;0;0.286;0.143;0;0.071;0
"Anatoliy Trubin";0.056;0;0;0;0;0;0;0;0.111;0.056;0.389;0.056;0.222;0;0;0.111
"Angel Di Maria";0.059;0;0;0;0;0;0.059;0.118;0.294;0.059;0;0.176;0;0;0.118;0.118
"Arthur Cabral";0;0.25;0;0;0;0.25;0.25;0;0;0;0;0;0;0;0;0.25
"Chiquinho";0;0;0;0;0;0.059;0.176;0.059;0.235;0.059;0.176;0.118;0;0.059;0;0.059
"David Jurasek";0;0;0;0.333;0.222;0;0.333;0;0.111;0;0;0;0;0;0;0
"David Neres";0;0;0.034;0.069;0.103;0.069;0;0.034;0.172;0.103;0;0;0.069;0;0.241;0.103
"Fredrik Aursnes";0;0;0.03;0;0.121;0;0.091;0;0.03;0.273;0.061;0.03;0.182;0;0.182;0
"Joao Neves";0.056;0;0.13;0;0.056;0.037;0.093;0.056;0;0.037;0.111;0.148;0.056;0.019;0.056;0.148
"Juan Bernat";0;0.019;0.038;0;0;0;0.038;0.189;0.075;0;0.377;0.038;0.189;0;0.038;0
"Morato";0;0.151;0;0;0.057;0.038;0;0.057;0.057;0.34;0;0.264;0.038;0;0;0
"Nicolas Otamendi";0.176;0.02;0.078;0.02;0.039;0;0.02;0.02;0.176;0.098;0.176;0;0.039;0;0.02;0.118
"Orkun Kokcu";0.062;0;0.094;0;0;0;0.125;0.188;0.094;0.125;0.094;0.062;0;0;0.062;0.094
"Petar Musa";0;0;0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0
"Rafa Silva";0;0;0.167;0;0;0;0.25;0.042;0.167;0.208;0;0.042;0.083;0;0;0.042
"Tomas Araujo ";0;0.034;0.138;0;0;0;0.103;0.069;0.241;0;0.103;0.138;0.103;0;0.069;0
