"";"Alex Balde";"Fermin Lopez";"Ferran Torres";"Gavi";"Ilkay Gundogan";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Marcos Alonso";"Oriol Romeu";"Robert Lewandowski";"Ronald Araujo";"Sergi Roberto"
"Alex Balde";0;0.033;0;0.049;0.18;0.016;0.246;0.295;0.016;0.066;0.016;0.049;0;0.033;0
"Fermin Lopez";0;0;0.2;0.4;0.2;0;0;0.2;0;0;0;0;0;0;0
"Ferran Torres";0.167;0;0;0;0;0.167;0.167;0;0.5;0;0;0;0;0;0
"Gavi";0.107;0.036;0.036;0;0.179;0.107;0.036;0.036;0.179;0;0;0.143;0;0.107;0.036
"Ilkay Gundogan";0.163;0.047;0.023;0.07;0;0.093;0.047;0.116;0.047;0.116;0.023;0.07;0.023;0.163;0
"Joao Cancelo";0.026;0;0.051;0.103;0.051;0;0.026;0.051;0.256;0.026;0;0.128;0;0.256;0.026
"Joao Felix";0.476;0;0.143;0;0.143;0;0;0.095;0.048;0;0;0.048;0.048;0;0
"Jules Kounde";0.254;0;0;0.015;0.104;0.03;0.045;0;0;0.119;0;0.134;0;0.299;0
"Lamine Yamal";0;0;0.143;0;0.143;0.19;0.19;0.095;0;0;0;0.048;0.095;0.095;0
"Marc-Andre ter Stegen";0.077;0;0;0.038;0.115;0.038;0;0.192;0;0;0;0.154;0;0.385;0
"Marcos Alonso";0.333;0;0;0;0.333;0;0;0.333;0;0;0;0;0;0;0
"Oriol Romeu";0.059;0;0.059;0.147;0.059;0.029;0;0.294;0;0.088;0;0;0;0.265;0
"Robert Lewandowski";0.5;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0
"Ronald Araujo";0.051;0;0;0.102;0.136;0.136;0.017;0.237;0.051;0.153;0;0.119;0;0;0
"Sergi Roberto";0;0;0;0;0;0.5;0;0;0;0;0;0;0;0.5;0
