"";"Eric Dier";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Matthijs De Ligt";"Noussair Mazraoui";"Raphael Guerreiro"
"Eric Dier";0;0;0.203;0.029;0.072;0.116;0.043;0;0.13;0.159;0.145;0.101
"Harry Kane";0.2;0;0.6;0.2;0;0;0;0;0;0;0;0
"Jamal Musiala";0.231;0.038;0;0.038;0.154;0.038;0.115;0;0;0;0.192;0.192
"Joshua Kimmich";0.052;0.017;0.052;0;0;0.121;0.19;0.241;0.052;0.259;0;0.017
"Kim Min-jae";0.25;0.083;0.167;0;0;0.083;0;0;0.167;0;0;0.25
"Konrad Laimer";0.3;0.067;0;0.1;0;0;0.067;0.033;0.067;0.233;0.067;0.067
"Leon Goretzka";0.194;0.032;0;0.29;0;0.032;0;0.194;0;0.226;0.032;0
"Leroy Sane";0;0;0.04;0.68;0;0.04;0.12;0;0.08;0;0.04;0
"Manuel Neuer";0.4;0;0.033;0.1;0.033;0.067;0.033;0;0;0.2;0.133;0
"Matthijs De Ligt";0.3;0;0;0.3;0;0.04;0.1;0.08;0.16;0;0;0.02
"Noussair Mazraoui";0.222;0.074;0.222;0;0;0.111;0;0;0.111;0;0;0.259
"Raphael Guerreiro";0.095;0.095;0.143;0.048;0.048;0.095;0.048;0.048;0.048;0.095;0.238;0
