"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Jan Oblak";"Jose Gimenez";"Koke";"Marcos Llorente";"Mario Hermoso";"Nahuel Molina";"Pablo Barrios ";"Reinildo";"Rodrigo de Paul";"Samuel Lino";"Saul Niguez";"Stefan Savic"
"Alvaro Morata";0;0;0.2;0;0;0;0.2;0;0;0;0.2;0;0;0.4;0;0
"Angel Correa";0;0;0;0;0;0;0;0.25;0;0;0.25;0;0.5;0;0;0
"Antoine Griezmann";0;0;0;0;0;0.025;0.2;0.05;0.025;0.2;0.025;0;0.25;0.125;0.075;0.025
"Axel Witsel";0;0;0.097;0;0;0.161;0.226;0.065;0;0.226;0;0;0.161;0.032;0.032;0
"Jan Oblak";0;0;0;0;0;0.167;0;0;0.5;0.167;0;0;0;0.167;0;0
"Jose Gimenez";0;0;0.059;0.294;0.118;0;0.059;0;0.353;0;0;0;0.059;0;0.059;0
"Koke";0.062;0.031;0.138;0.092;0;0.046;0;0.077;0.077;0.108;0.046;0.015;0.231;0.062;0.015;0
"Marcos Llorente";0.097;0.065;0.129;0;0;0;0.258;0;0;0.065;0.065;0.032;0.194;0.032;0;0.065
"Mario Hermoso";0;0;0.03;0;0.03;0.121;0.273;0;0;0;0;0;0.061;0.394;0.091;0
"Nahuel Molina";0;0;0.276;0.103;0;0;0.276;0.241;0;0;0;0;0.103;0;0;0
"Pablo Barrios ";0;0.091;0;0;0;0;0.091;0.364;0;0;0;0.091;0.182;0;0;0.182
"Reinildo";0;0;0;0;0;0;0.167;0;0;0;0;0;0.167;0.667;0;0
"Rodrigo de Paul";0.021;0.021;0.17;0.085;0;0;0.234;0.064;0.106;0.043;0.043;0.043;0;0.064;0.064;0.043
"Samuel Lino";0;0;0.194;0.032;0;0.032;0.194;0;0.226;0;0.032;0.032;0.194;0;0.065;0
"Saul Niguez";0;0;0.25;0;0;0.083;0.083;0.083;0.25;0.083;0;0;0.083;0.083;0;0
"Stefan Savic";0;0.083;0.083;0.167;0;0;0.083;0.333;0;0;0.083;0.083;0.083;0;0;0
