"";"Bernardo Silva";"Ederson";"Erling Haaland";"Jack Grealish";"Jeremy Doku";"Josko Gvardiol";"Kevin De Bruyne";"Kyle Walker";"Manuel Akanji";"Phil Foden";"Rodri";"Ruben Dias"
"Bernardo Silva";0;0.022;0.043;0.152;0;0.065;0.152;0.13;0.065;0.043;0.261;0.065
"Ederson";0;0;0;0;0;0.143;0;0.286;0.238;0.048;0.143;0.143
"Erling Haaland";0;0;0;0.2;0;0;0.2;0;0;0.4;0.2;0
"Jack Grealish";0.303;0;0;0;0;0.182;0.152;0;0.061;0.061;0.212;0.03
"Jeremy Doku";0;0;0;0;0;0.077;0;0;0.308;0.154;0.385;0.077
"Josko Gvardiol";0.049;0.012;0.025;0.111;0.049;0;0.062;0.062;0.111;0.037;0.235;0.247
"Kevin De Bruyne";0.125;0;0;0.125;0.025;0.1;0;0.15;0.175;0.125;0.175;0
"Kyle Walker";0.046;0.046;0.034;0.011;0.011;0.046;0.08;0;0.184;0.172;0.207;0.161
"Manuel Akanji";0.056;0.069;0.042;0.028;0.014;0.069;0.111;0.056;0;0.056;0.278;0.222
"Phil Foden";0.095;0;0;0.024;0.048;0.024;0.238;0.167;0.095;0;0.286;0.024
"Rodri";0.097;0.01;0;0.058;0.019;0.184;0.078;0.214;0.097;0.078;0;0.165
"Ruben Dias";0.044;0.078;0;0.044;0.044;0.344;0.011;0.133;0.133;0.022;0.144;0
