"";"Alex Remiro";"Ander Barrene";"Andre Silva";"Benat Turrientes";"Brais Mendez";"Hamari Traore";"Igor Zubeldia";"Javi Galan";"Jon Olasagasti";"Jon Pacheco";"Martin Zubimendi";"Mikel Merino";"Mikel Oyarzabal";"Robin Le Normand";"Sheraldo Becker";"Takefusa Kubo"
"Alex Remiro";0;0;0;0;0;0.167;0;0.333;0;0;0;0;0;0.5;0;0
"Ander Barrene";0;0;0.2;0;0;0;0;0.4;0;0;0;0;0;0.4;0;0
"Andre Silva";0;0.333;0;0;0;0;0;0;0.333;0;0;0;0;0;0;0.333
"Benat Turrientes";0;0;0;0;0;0.333;0;0;0.333;0;0;0.333;0;0;0;0
"Brais Mendez";0;0;0;0;0;0;0.182;0;0;0;0.091;0.091;0.091;0.182;0.091;0.273
"Hamari Traore";0.091;0;0.045;0.045;0.045;0;0.091;0;0;0;0.182;0.182;0.091;0.045;0;0.182
"Igor Zubeldia";0.222;0;0;0;0.056;0.111;0;0.056;0;0;0.167;0.111;0.056;0.167;0;0.056
"Javi Galan";0.032;0.065;0;0;0.032;0;0.032;0;0;0.065;0.129;0.065;0.065;0.419;0.097;0
"Jon Olasagasti";0;0;0.25;0;0;0;0;0;0;0.25;0;0;0;0;0;0.5
"Jon Pacheco";0.8;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0
"Martin Zubimendi";0.118;0;0.029;0;0.029;0.059;0.118;0.118;0;0.029;0;0.059;0;0.324;0.088;0.029
"Mikel Merino";0;0.174;0;0;0.087;0.174;0.043;0.087;0;0;0.043;0;0.13;0.087;0.087;0.087
"Mikel Oyarzabal";0;0;0;0;0.062;0.125;0.062;0.062;0;0;0.375;0;0;0.062;0;0.25
"Robin Le Normand";0.143;0.024;0;0;0.024;0;0;0.238;0;0.024;0.214;0.095;0.071;0;0.095;0.071
"Sheraldo Becker";0;0;0;0;0.111;0;0;0.333;0;0;0.222;0.111;0.111;0;0;0.111
"Takefusa Kubo";0;0.071;0;0.143;0.143;0.214;0;0.071;0.071;0;0.071;0;0.143;0;0.071;0
