"";"Alessandro Bastoni";"Alexis Sanchez";"Carlos Augusto";"Davide Frattesi";"Federico Dimarco";"Francesco Acerbi";"Hakan Calhanoglu";"Henrikh Mkhitaryan";"Kristjan Asllani";"Lautaro Martinez";"Marcus Thuram";"Matteo Darmian";"Nicolo Barella";"Stefan de Vrij";"Yann Bisseck";"Yann Sommer"
"Alessandro Bastoni";0;0;0.333;0;0.026;0.128;0.128;0.051;0.051;0.026;0;0.077;0.077;0.026;0.026;0.051
"Alexis Sanchez";0;0;0.167;0.25;0;0.083;0.083;0.25;0;0;0.083;0;0;0;0.083;0
"Carlos Augusto";0.2;0.067;0;0;0;0.167;0;0.267;0.067;0;0.133;0;0.067;0.033;0;0
"Davide Frattesi";0.037;0.037;0.037;0;0;0.037;0.037;0;0.111;0.074;0.037;0.444;0;0.037;0.111;0
"Federico Dimarco";0.333;0;0;0.333;0;0;0;0;0;0;0;0;0.333;0;0;0
"Francesco Acerbi";0.211;0.026;0.132;0;0.053;0;0.158;0;0.053;0;0.026;0.184;0;0.079;0.026;0.053
"Hakan Calhanoglu";0.097;0.097;0.032;0.097;0;0.226;0;0.194;0;0;0;0.032;0;0;0.194;0.032
"Henrikh Mkhitaryan";0.241;0.034;0.138;0.103;0;0.034;0.138;0;0;0;0.034;0.034;0;0.034;0.207;0
"Kristjan Asllani";0.222;0;0.167;0.056;0;0.111;0;0.056;0;0.056;0.111;0.056;0.056;0.111;0;0
"Lautaro Martinez";0.125;0;0;0;0;0;0;0;0.125;0;0.375;0.125;0.125;0.125;0;0
"Marcus Thuram";0;0.176;0;0.118;0;0;0.059;0.235;0.118;0.059;0;0.118;0.118;0;0;0
"Matteo Darmian";0.031;0.062;0;0.281;0;0;0.094;0.094;0.062;0.031;0.031;0;0.094;0.125;0.094;0
"Nicolo Barella";0;0;0.1;0;0.1;0.1;0;0;0.3;0.2;0;0;0;0.2;0;0
"Stefan de Vrij";0.125;0;0;0.125;0;0;0.083;0.042;0;0.083;0.167;0.208;0.083;0;0;0.083
"Yann Bisseck";0.091;0.045;0;0.136;0;0.136;0.136;0.045;0;0;0.045;0.182;0;0;0;0.182
"Yann Sommer";0.143;0;0;0.071;0;0.286;0.214;0;0;0;0;0.071;0.071;0;0.143;0
