"";"Alex Balde";"Andreas Christensen";"Fermin Lopez";"Ferran Torres";"Gavi";"Ilkay Gundogan";"Joao Cancelo";"Joao Felix";"Lamine Yamal";"Marc-Andre ter Stegen";"Marcos Alonso";"Oriol Romeu";"Pedri";"Raphinha";"Robert Lewandowski";"Ronald Araujo"
"Alex Balde";0;0.286;0;0;0;0.143;0;0.19;0;0;0;0;0.238;0;0;0.143
"Andreas Christensen";0.039;0;0;0.029;0.029;0.235;0.127;0.039;0;0.059;0.069;0.029;0.049;0.029;0.01;0.255
"Fermin Lopez";0.111;0;0;0;0;0.222;0;0.111;0.333;0;0;0;0.222;0;0;0
"Ferran Torres";0;0.211;0;0;0;0.211;0.053;0;0;0;0.368;0;0;0.053;0;0.105
"Gavi";0;0.056;0;0.056;0;0.056;0;0.056;0.111;0;0.056;0.056;0;0.333;0.111;0.111
"Ilkay Gundogan";0.012;0.134;0.024;0.049;0.024;0;0.244;0.024;0.098;0.012;0.073;0.073;0.098;0;0.012;0.122
"Joao Cancelo";0;0.129;0.012;0;0.059;0.118;0;0.012;0.153;0.012;0;0.047;0.035;0.176;0.024;0.224
"Joao Felix";0.35;0.05;0.05;0;0;0.05;0;0;0.05;0;0;0;0.3;0;0.05;0.1
"Lamine Yamal";0;0;0.192;0;0;0.231;0.423;0.038;0;0;0;0;0;0;0.038;0.077
"Marc-Andre ter Stegen";0;0.25;0.05;0;0;0.1;0.1;0;0;0;0.1;0.05;0;0;0;0.35
"Marcos Alonso";0;0.31;0;0.345;0.034;0.138;0;0;0;0;0;0.103;0;0;0.034;0.034
"Oriol Romeu";0;0.133;0;0.133;0.067;0.167;0.167;0;0;0;0.033;0;0;0.1;0;0.2
"Pedri";0.2;0;0.04;0;0;0.24;0.08;0.24;0.12;0;0;0;0;0;0.04;0.04
"Raphinha";0;0.125;0;0.042;0.083;0.042;0.208;0;0;0;0.042;0.208;0;0;0.083;0.167
"Robert Lewandowski";0;0;0;0;0.333;0.083;0.083;0.25;0;0;0.083;0;0;0.083;0;0.083
"Ronald Araujo";0.021;0.337;0;0.011;0.021;0.126;0.158;0.032;0.032;0.063;0.021;0.095;0.042;0.032;0.011;0
