"";"Danylo Sikan";"Dmytro Kryskiv";"Dmytro Riznyk";"Georgiy Sudakov";"Giorgi Gocholeishvili";"Mykola Matvienko";"Newerton";"Oleksandr Zubkov";"Taras Stepanenko";"Valeriy Bondar";"Yaroslav Rakitskyi";"Yegor Nazaryna"
"Danylo Sikan";0;0.333;0;0.333;0;0.167;0.167;0;0;0;0;0
"Dmytro Kryskiv";0.074;0;0.037;0.185;0.111;0;0.111;0.222;0.074;0.111;0.074;0
"Dmytro Riznyk";0;0.071;0;0.143;0.071;0.214;0;0;0.071;0.143;0.286;0
"Georgiy Sudakov";0;0.105;0.026;0;0.105;0.263;0.079;0.079;0.105;0.079;0.105;0.053
"Giorgi Gocholeishvili";0.077;0.346;0.038;0;0;0.038;0.077;0.154;0.077;0.192;0;0
"Mykola Matvienko";0.036;0.036;0;0.214;0;0;0.214;0;0.036;0.071;0.393;0
"Newerton";0.188;0;0;0.312;0;0.375;0;0;0.062;0;0.062;0
"Oleksandr Zubkov";0.105;0.053;0.105;0.158;0.158;0.053;0.158;0;0.105;0.053;0.053;0
"Taras Stepanenko";0;0.053;0;0.158;0.105;0.105;0.053;0.105;0;0.263;0.158;0
"Valeriy Bondar";0.033;0.1;0.233;0.1;0.167;0;0;0.1;0.1;0;0.167;0
"Yaroslav Rakitskyi";0.036;0.107;0.214;0.179;0.071;0.25;0.036;0;0.071;0;0;0.036
"Yegor Nazaryna";0;0.2;0;0.2;0;0;0;0.2;0;0.2;0.2;0
