"";"Alexander Bah";"Anatoliy Trubin";"Angel Di Maria";"Antonio Silva";"Casper Tengstedt";"Chiquinho";"David Neres";"Fredrik Aursnes";"Joao Mario";"Joao Neves";"Morato";"Nicolas Otamendi";"Orkun Kokcu";"Petar Musa";"Rafa Silva";"Tiago Gouveia"
"Alexander Bah";0;0;0.159;0.014;0.029;0.072;0.058;0.014;0.014;0.246;0.014;0.188;0.029;0.101;0.043;0.014
"Anatoliy Trubin";0.238;0;0;0.048;0;0.048;0;0.048;0;0.143;0.143;0.333;0;0;0;0
"Angel Di Maria";0.35;0;0;0.05;0;0;0;0;0;0.2;0;0.1;0.1;0.05;0.15;0
"Antonio Silva";0.143;0.429;0.286;0;0;0;0;0;0;0;0;0.143;0;0;0;0
"Casper Tengstedt";0.667;0;0;0;0;0;0.333;0;0;0;0;0;0;0;0;0
"Chiquinho";0.111;0;0;0;0.056;0;0.278;0.167;0;0.111;0.111;0.056;0;0;0.056;0.056
"David Neres";0.111;0;0;0;0;0.333;0;0.222;0;0.111;0;0;0;0;0.222;0
"Fredrik Aursnes";0.036;0.089;0.018;0;0;0.054;0.036;0;0;0.089;0.321;0.071;0.125;0.018;0.107;0.036
"Joao Mario";0.25;0;0;0;0;0;0;0.25;0;0.25;0;0;0.25;0;0;0
"Joao Neves";0.244;0.022;0.111;0;0.022;0;0.044;0.133;0.022;0;0.089;0.089;0.044;0.089;0.044;0.044
"Morato";0.064;0.085;0;0;0;0.043;0;0.426;0;0.064;0;0.213;0.043;0.021;0.043;0
"Nicolas Otamendi";0.412;0.039;0.039;0;0;0.02;0;0.098;0.02;0.137;0.176;0;0.02;0.02;0.02;0
"Orkun Kokcu";0.133;0;0.2;0;0;0;0;0.133;0;0.2;0.067;0.133;0;0;0.133;0
"Petar Musa";0.143;0;0.143;0;0;0.143;0;0;0;0.286;0;0.143;0;0;0.143;0
"Rafa Silva";0;0;0.05;0;0;0;0;0.35;0.1;0.15;0.05;0.1;0.1;0.1;0;0
"Tiago Gouveia";0.5;0;0;0;0;0;0.25;0.25;0;0;0;0;0;0;0;0
