"";"Adria Pedrosa";"Boubakary Soumare";"Djibril Sow";"Ivan Rakitic";"Juanlu Sanchez ";"Kike Salas";"Marko Dmitrovic";"Nemanja Gudelj";"Oliver Torres";"Rafa Mir";"Sergio Ramos";"Youssef En-Nesyri"
"Adria Pedrosa";0;0.125;0.083;0.167;0;0.375;0.042;0;0;0;0.167;0.042
"Boubakary Soumare";0.03;0;0.119;0.045;0.045;0.179;0.06;0.209;0.104;0;0.194;0.015
"Djibril Sow";0.083;0.139;0;0.083;0.083;0.111;0.056;0.167;0.139;0;0.139;0
"Ivan Rakitic";0.075;0.189;0.113;0;0.094;0.113;0;0.113;0.151;0;0.113;0.038
"Juanlu Sanchez ";0;0.1;0.125;0.175;0;0;0.05;0.2;0.15;0;0.125;0.075
"Kike Salas";0.167;0.146;0.042;0.271;0;0;0.042;0.042;0.021;0.021;0.208;0.042
"Marko Dmitrovic";0;0.105;0.105;0.053;0;0;0;0.211;0;0;0.526;0
"Nemanja Gudelj";0;0.233;0.067;0.1;0.167;0;0.133;0;0.083;0;0.183;0.033
"Oliver Torres";0.032;0.065;0.065;0.129;0.323;0.129;0;0.194;0;0;0;0.065
"Rafa Mir";0;0;0;0;0;0;0;0;0;0;1;0
"Sergio Ramos";0.074;0.176;0.044;0.132;0.029;0.176;0.059;0.235;0.059;0.015;0;0
"Youssef En-Nesyri";0.182;0.091;0.182;0.091;0.091;0.091;0;0.091;0.182;0;0;0
