"";"Alexander Schlager";"Amar Dedic";"Dijon Kameri";"Dorgeles Nene";"Fernando dos Santos";"Kamil Piatkowski";"Lucas Gourna-Douath";"Luka Sucic";"Mads Bidstrup";"Oscar Gloukh";"Petar Ratkov";"Samson Baidoo";"Sekou Koita";"Strahinja Pavlovic"
"Alexander Schlager";0;0.129;0;0;0;0.258;0.226;0.032;0;0;0;0;0;0.355
"Amar Dedic";0.08;0;0.04;0.04;0.04;0.08;0.16;0.24;0;0.24;0.04;0;0;0.04
"Dijon Kameri";0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0
"Dorgeles Nene";0;0.111;0;0;0;0;0.222;0.222;0;0.444;0;0;0;0
"Fernando dos Santos";0;0;0;0;0;0;0.2;0.6;0;0;0;0;0.2;0
"Kamil Piatkowski";0.205;0.026;0;0;0;0;0.154;0;0;0.026;0;0.282;0.026;0.282
"Lucas Gourna-Douath";0.047;0.07;0.023;0.047;0.047;0.14;0;0.14;0.093;0.047;0.023;0.116;0;0.209
"Luka Sucic";0;0.2;0;0.033;0.067;0.067;0.133;0;0.067;0.167;0;0.067;0.067;0.133
"Mads Bidstrup";0;0;0;0;0;0.143;0.143;0;0;0.143;0.071;0.429;0.071;0
"Oscar Gloukh";0.05;0.1;0;0.25;0.05;0.05;0.1;0.1;0.05;0;0;0.05;0.05;0.15
"Petar Ratkov";0;0;0;0.2;0;0.2;0;0;0.4;0.2;0;0;0;0
"Samson Baidoo";0.062;0;0;0;0;0.312;0.156;0.125;0.156;0.125;0;0;0.031;0.031
"Sekou Koita";0;0;0;0;0.5;0;0.25;0;0.25;0;0;0;0;0
"Strahinja Pavlovic";0.341;0.122;0;0;0;0.122;0.122;0.195;0;0.073;0.024;0;0;0
