"";"Alessandro Bastoni";"Alexis Sanchez";"Benjamin Pavard";"Carlos Augusto";"Davide Frattesi";"Davy Klaassen";"Denzel Dumfries";"Hakan Calhanoglu";"Henrikh Mkhitaryan";"Kristjan Asllani";"Lautaro Martinez";"Marcus Thuram";"Matteo Darmian";"Nicolo Barella";"Stefan de Vrij";"Yann Sommer"
"Alessandro Bastoni";0;0.019;0.189;0.302;0;0;0;0.132;0.019;0.019;0.019;0.019;0;0.132;0.075;0.075
"Alexis Sanchez";0;0;0;0.222;0.111;0;0;0.333;0;0;0.111;0;0;0.222;0;0
"Benjamin Pavard";0.093;0;0;0;0.111;0;0.148;0.093;0.037;0.019;0.037;0.019;0.037;0.037;0.167;0.204
"Carlos Augusto";0.25;0.114;0.023;0;0;0.023;0;0;0.182;0.023;0.068;0.045;0;0.114;0.114;0.045
"Davide Frattesi";0;0.143;0.286;0;0;0;0.286;0;0;0;0.143;0;0;0;0.143;0
"Davy Klaassen";0;0;0;0;0;0;0;0;0;0.333;0;0.333;0.333;0;0;0
"Denzel Dumfries";0.037;0;0.556;0;0.111;0;0;0.111;0.037;0;0;0;0;0;0.111;0.037
"Hakan Calhanoglu";0.207;0.069;0.207;0.034;0;0;0.069;0;0.138;0;0.034;0;0.034;0.034;0.103;0.069
"Henrikh Mkhitaryan";0;0.083;0.083;0.167;0.042;0;0.208;0.083;0;0;0.125;0;0;0;0.125;0.083
"Kristjan Asllani";0.167;0;0.333;0;0;0;0;0;0;0;0;0;0;0.5;0;0
"Lautaro Martinez";0.125;0;0.188;0.125;0.062;0;0;0.062;0.25;0;0;0.125;0.062;0;0;0
"Marcus Thuram";0;0;0;0;0.286;0;0;0.143;0;0.286;0;0;0;0.286;0;0
"Matteo Darmian";0;0;0.143;0;0.143;0;0;0.143;0;0.143;0.143;0.286;0;0;0;0
"Nicolo Barella";0.259;0;0.037;0.185;0;0.074;0;0.148;0;0.074;0.111;0.037;0.037;0;0.037;0
"Stefan de Vrij";0.267;0;0.222;0.089;0;0;0.111;0.089;0.067;0;0;0;0;0.044;0;0.111
"Yann Sommer";0.226;0;0.161;0.161;0;0;0;0.032;0.032;0;0;0;0.032;0.097;0.258;0
