"";"Adrien Thomasson";"Andy Diouf";"Angelo Fulgini";"Brice Samba";"Deiver Machado";"Elye Wahi";"Facundo Medina";"Florian Sotoca";"Jonathan Gradit";"Kevin Danso";"Nampalys Mendy";"Przemyslaw Frankowski";"Salis Samed"
"Adrien Thomasson";0;0;0;0;0.188;0;0.188;0.062;0;0.125;0.25;0.188;0
"Andy Diouf";0;0;0;0;0;1;0;0;0;0;0;0;0
"Angelo Fulgini";0;0.333;0;0;0;0;0;0;0;0;0;0.667;0
"Brice Samba";0;0;0;0;0.125;0;0.25;0;0.125;0.375;0;0.125;0
"Deiver Machado";0.154;0;0;0;0;0.154;0.538;0.077;0;0;0.077;0;0
"Elye Wahi";0.444;0;0.111;0;0;0;0;0.222;0;0;0;0;0.222
"Facundo Medina";0.154;0;0.038;0.077;0.115;0.077;0;0.038;0.115;0.038;0.077;0.077;0.192
"Florian Sotoca";0;0.091;0;0;0;0.136;0;0;0.227;0.091;0.273;0.136;0.045
"Jonathan Gradit";0.065;0.032;0;0.226;0;0;0;0.226;0;0.226;0.097;0.129;0
"Kevin Danso";0;0;0;0.148;0.037;0.037;0.259;0.111;0.259;0;0.037;0.037;0.074
"Nampalys Mendy";0.031;0;0;0.031;0.062;0.031;0.062;0.188;0.156;0.188;0;0.188;0.062
"Przemyslaw Frankowski";0.053;0;0.053;0;0;0.053;0;0.158;0.263;0.053;0.263;0;0.105
"Salis Samed";0.067;0;0;0.067;0.133;0;0.133;0;0.267;0.2;0.133;0;0
