"";"Anatoliy Trubin";"Angel Di Maria";"Casper Tengstedt";"Florentino Luis";"Fredrik Aursnes";"Goncalo Guedes";"Joao Mario";"Joao Neves";"Morato";"Nicolas Otamendi";"Orkun Kokcu";"Petar Musa";"Rafa Silva";"Tomas Araujo "
"Anatoliy Trubin";0;0;0;0;0.115;0;0.077;0.269;0.038;0.192;0;0;0;0.308
"Angel Di Maria";0;0;0.091;0;0.394;0;0.061;0.152;0;0;0.061;0.061;0.121;0.061
"Casper Tengstedt";0;0.25;0;0;0.25;0;0.25;0;0;0;0;0;0.25;0
"Florentino Luis";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Fredrik Aursnes";0.034;0.424;0.017;0;0;0;0.051;0.169;0;0.051;0.034;0.051;0.102;0.068
"Goncalo Guedes";0;0.1;0;0.1;0;0;0.1;0.2;0.2;0;0;0;0.1;0.2
"Joao Mario";0.024;0.171;0.024;0;0.049;0.049;0;0.049;0.293;0.122;0.098;0.024;0.098;0
"Joao Neves";0.077;0.077;0;0;0.231;0;0.096;0;0.096;0.115;0.019;0.038;0.115;0.135
"Morato";0;0.021;0.062;0;0;0.042;0.292;0.083;0;0.188;0.104;0.062;0.146;0
"Nicolas Otamendi";0.103;0.052;0;0;0.121;0.017;0.086;0.138;0.293;0;0.086;0;0.034;0.069
"Orkun Kokcu";0.069;0.103;0.069;0;0.069;0;0.034;0.103;0.207;0.103;0;0;0.172;0.069
"Petar Musa";0;0.182;0;0;0.091;0.091;0.091;0.091;0;0;0.182;0;0.273;0
"Rafa Silva";0;0.25;0.036;0;0;0.071;0.143;0.071;0.107;0.107;0.107;0.036;0;0.071
"Tomas Araujo ";0.105;0.184;0.026;0;0.289;0;0.053;0.079;0.079;0.158;0.026;0;0;0
