"";"Alistair Johnston";"Callum McGregor";"Greg Taylor";"Gustaf Lagerbielke";"Hyeon-gyu Oh";"James Forrest";"Joe Hart";"Kyogo Furuhashi";"Liam Scales";"Luis Palma";"Matt O'Riley";"Mikey Johnston";"Mitchel Frame";"Paulo Bernardo";"Stephen Welsh";"Tomoki Iwata"
"Alistair Johnston";0;0.154;0;0.026;0;0.128;0;0;0;0;0.154;0.256;0;0.051;0.205;0.026
"Callum McGregor";0.205;0;0.103;0;0;0.026;0.026;0;0.231;0.103;0.051;0;0;0.077;0.103;0.077
"Greg Taylor";0.023;0.14;0;0;0;0.023;0.07;0.047;0.256;0.256;0.023;0.023;0.047;0.093;0;0
"Gustaf Lagerbielke";0.25;0;0.25;0;0;0.25;0;0;0.25;0;0;0;0;0;0;0
"Hyeon-gyu Oh";0;0;0;0;0;0;0;0;0;0;0.333;0;0.667;0;0;0
"James Forrest";0.429;0.286;0;0;0;0;0;0;0;0;0.143;0;0;0.143;0;0
"Joe Hart";0.029;0;0.147;0;0;0;0;0;0.441;0.029;0;0;0;0.029;0.324;0
"Kyogo Furuhashi";0;0.333;0;0;0;0;0;0;0;0.667;0;0;0;0;0;0
"Liam Scales";0.015;0.123;0.292;0.031;0;0;0.154;0.015;0;0.092;0.015;0;0.015;0.031;0.215;0
"Luis Palma";0;0.2;0.15;0;0;0;0;0.1;0.15;0;0.1;0.1;0;0.15;0.05;0
"Matt O'Riley";0.238;0.143;0;0;0;0.143;0.048;0.095;0.048;0;0;0.143;0.048;0;0.048;0.048
"Mikey Johnston";0.2;0.133;0.067;0;0;0;0.067;0;0;0.133;0.267;0;0;0.067;0.067;0
"Mitchel Frame";0;0;0.333;0;0;0;0;0;0.333;0;0;0;0;0.333;0;0
"Paulo Bernardo";0;0.222;0.222;0;0.222;0.111;0.056;0;0;0.056;0;0.111;0;0;0;0
"Stephen Welsh";0.25;0.091;0.023;0;0;0;0.091;0.023;0.295;0;0.091;0.045;0;0.045;0;0.045
"Tomoki Iwata";0.429;0.286;0;0;0;0;0;0;0.143;0;0;0;0;0;0.143;0
