"";"Alessandro Bastoni";"Alexis Sanchez";"Benjamin Pavard";"Carlos Augusto";"Denzel Dumfries";"Federico Dimarco";"Francesco Acerbi";"Hakan Calhanoglu";"Henrikh Mkhitaryan";"Kristjan Asllani";"Lautaro Martinez";"Marcus Thuram";"Matteo Darmian";"Nicolo Barella";"Yann Sommer"
"Alessandro Bastoni";0;0.018;0.143;0.018;0;0.268;0.179;0.125;0.071;0.018;0;0;0.018;0.036;0.107
"Alexis Sanchez";0;0;0;0;0;0;0;0;0.25;0;0;0;0.25;0.5;0
"Benjamin Pavard";0.204;0;0;0;0.13;0.019;0.13;0.148;0.037;0;0.037;0;0.037;0.111;0.148
"Carlos Augusto";0;0.2;0;0;0;0;0;0;0.2;0.2;0.2;0;0;0;0.2
"Denzel Dumfries";0;0;0.231;0;0;0;0.077;0.077;0;0;0.077;0.077;0;0.385;0.077
"Federico Dimarco";0.333;0;0.03;0;0;0;0;0.212;0.212;0;0.03;0.091;0;0.061;0.03
"Francesco Acerbi";0.308;0;0.333;0;0.051;0.077;0;0.103;0.026;0;0;0;0;0.026;0.077
"Hakan Calhanoglu";0.122;0.02;0.163;0;0;0.184;0.061;0;0.184;0;0.061;0.082;0;0.122;0
"Henrikh Mkhitaryan";0.088;0;0.029;0;0.059;0.294;0.029;0.088;0;0;0.176;0;0;0.235;0
"Kristjan Asllani";0.2;0;0;0.2;0;0;0.2;0;0;0;0.2;0;0;0;0.2
"Lautaro Martinez";0;0;0.077;0;0;0.231;0.077;0.077;0.231;0;0;0.154;0.154;0;0
"Marcus Thuram";0;0;0;0;0;0.286;0;0.286;0;0;0.143;0;0;0.286;0
"Matteo Darmian";0;0.1;0.2;0;0;0;0;0;0;0.2;0.2;0;0;0.3;0
"Nicolo Barella";0;0.029;0.2;0;0.057;0.086;0.029;0.114;0.086;0;0.286;0.057;0.057;0;0
"Yann Sommer";0.158;0;0.421;0.053;0;0.053;0.158;0.105;0;0.053;0;0;0;0;0
