"";"Achraf Hakimi";"Beraldo";"Bradley Barcola";"Carlos Soler";"Fabian Ruiz";"Gianluigi Donnarumma";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Nordi Mukiele";"Nuno Mendes";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0;0.018;0;0.018;0.036;0.218;0.036;0.182;0;0.018;0;0.109;0;0.145;0.218
"Beraldo";0;0;0;0;0.13;0.043;0.022;0.022;0.239;0;0.022;0.174;0.13;0;0.196;0.022
"Bradley Barcola";0.667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333
"Carlos Soler";0;0;0;0;0;0;0.25;0;0;0;0.25;0;0;0;0.5;0
"Fabian Ruiz";0;0.069;0;0;0;0;0.034;0.172;0.172;0;0.034;0.172;0.103;0;0.207;0.034
"Gianluigi Donnarumma";0.053;0.474;0;0;0.053;0;0.053;0;0.158;0;0.053;0.105;0;0;0.053;0
"Kang-In Lee";0.368;0;0;0;0;0;0;0.053;0;0;0;0.053;0;0;0.368;0.158
"Kylian Mbappe";0.067;0;0;0;0.267;0;0.067;0;0;0;0;0.2;0.133;0;0.2;0.067
"Lucas Hernandez";0.31;0.238;0;0;0.095;0.143;0.024;0;0;0.024;0;0;0.024;0;0.071;0.071
"Manuel Ugarte";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Nordi Mukiele";0.222;0.111;0;0;0;0.333;0;0;0;0;0;0;0;0;0.111;0.222
"Nuno Mendes";0;0.171;0;0;0.2;0;0;0.171;0;0;0;0;0.314;0;0.114;0.029
"Ousmane Dembele";0.097;0.032;0.032;0;0.032;0.065;0.032;0.258;0.065;0;0;0.226;0;0;0.161;0
"Randal Kolo Muani";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Vitinha Ferreira";0.153;0.169;0;0;0.136;0.017;0.051;0.068;0.119;0.017;0.017;0.085;0.102;0;0;0.068
"Warren Zaire-Emery";0.414;0.034;0.103;0;0;0;0.103;0;0;0;0.069;0;0.034;0.034;0.207;0
