"";"Alan Varela";"Andre Franco";"Danny Namaso";"David Carmo";"Diogo Costa";"Evanilson";"Fran Navarro";"Francisco Conceicao";"Joao Mario";"Jorge Sanchez";"Mehdi Taremi";"Pepe_14926";"Pepe_66499";"Stephen Eustaquio";"Zaidu Sanusi"
"Alan Varela";0;0.052;0;0.175;0.01;0.062;0;0.052;0.155;0.052;0.031;0.258;0.072;0.052;0.031
"Andre Franco";0.136;0;0;0.091;0;0.045;0;0.045;0.136;0;0.182;0.136;0;0.045;0.182
"Danny Namaso";0;0;0;0;0;0;0;0.25;0;0;0;0.25;0.5;0;0
"David Carmo";0.239;0.042;0;0;0.141;0;0;0;0;0;0.028;0.268;0.042;0.056;0.183
"Diogo Costa";0.087;0;0;0.478;0;0;0;0;0;0;0;0.13;0.043;0.13;0.13
"Evanilson";0;0.095;0;0.095;0;0;0;0;0.238;0;0.048;0.095;0.19;0.19;0.048
"Fran Navarro";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Francisco Conceicao";0.538;0;0.077;0;0;0;0;0;0.154;0.077;0;0.077;0;0.077;0
"Joao Mario";0.271;0.083;0;0.021;0.021;0.083;0;0.125;0;0;0;0.312;0.021;0.062;0
"Jorge Sanchez";0.2;0;0.2;0;0;0;0;0.267;0;0;0;0.2;0.067;0.067;0
"Mehdi Taremi";0.368;0.105;0;0;0;0.053;0;0;0;0;0;0.053;0.263;0.105;0.053
"Pepe_14926";0.289;0.067;0.011;0.1;0.089;0.044;0;0;0.233;0.044;0;0;0.033;0.089;0
"Pepe_66499";0.062;0;0.031;0.125;0;0.156;0.031;0;0.125;0;0.094;0.094;0;0.125;0.156
"Stephen Eustaquio";0.167;0.037;0;0.111;0.019;0.093;0;0.019;0.037;0.037;0.056;0.167;0.111;0;0.148
"Zaidu Sanusi";0.078;0.059;0;0.294;0.02;0.02;0;0;0;0;0.098;0.059;0.098;0.275;0
