"";"Aissa Laidouni";"Alex Kral";"Brenden Aaronson";"Christopher Trimmel";"David Fofana";"Diogo Leite";"Frederik Ronnow";"Janik Haberer";"Jerome Roussillon";"Josip Juranovic";"Leonardo Bonucci";"Lucas Tousart";"Paul Jaeckel";"Rani Khedira";"Robin Gosens";"Sheraldo Becker"
"Aissa Laidouni";0;0;0;0.045;0.136;0.227;0;0;0.318;0;0.091;0;0;0.045;0;0.136
"Alex Kral";0;0;0.333;0;0.333;0;0;0;0;0;0;0;0;0;0;0.333
"Brenden Aaronson";0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5
"Christopher Trimmel";0;0;0.25;0;0;0.25;0;0;0;0;0;0;0.5;0;0;0
"David Fofana";0.143;0;0;0;0;0;0;0;0.143;0;0;0.143;0;0;0;0.571
"Diogo Leite";0.161;0;0;0;0.032;0;0.226;0.129;0.097;0.032;0.097;0.032;0.032;0.097;0;0.065
"Frederik Ronnow";0;0;0;0;0;0.417;0;0;0.083;0.083;0.083;0.083;0.083;0;0.083;0.083
"Janik Haberer";0;0;0;0;0;0;0.125;0;0;0.125;0;0;0.5;0.125;0;0.125
"Jerome Roussillon";0.333;0;0;0;0;0.267;0;0.067;0;0.067;0.067;0;0;0.067;0;0.133
"Josip Juranovic";0.182;0;0;0;0;0.273;0.091;0.182;0;0;0;0;0.182;0;0;0.091
"Leonardo Bonucci";0.091;0;0;0.091;0.182;0.364;0.091;0;0;0;0;0;0.091;0.091;0;0
"Lucas Tousart";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Paul Jaeckel";0.062;0;0.062;0;0;0.25;0.188;0.062;0.062;0;0.25;0;0;0;0;0.062
"Rani Khedira";0.235;0;0;0;0;0.118;0;0;0.176;0;0.118;0;0.176;0;0;0.176
"Robin Gosens";0;0.333;0;0;0.333;0.333;0;0;0;0;0;0;0;0;0;0
"Sheraldo Becker";0.1;0;0.1;0;0.2;0.3;0;0.1;0;0.1;0;0;0.1;0;0;0
