"";"Alex Meret";"Amir Rrahmani";"Eljif Elmas";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Giovanni Simeone";"Jens Cajuste";"Jesper Lindstrom";"Khvicha Kvaratskhelia";"Leo Ostigard";"Mario Rui";"Mathias Olivera";"Matteo Politano";"Natan";"Piotr Zielinski";"Stanislav Lobotka"
"Alex Meret";0;0;0;0;0.154;0.077;0.077;0;0;0;0.077;0;0;0.231;0.231;0.154
"Amir Rrahmani";0.079;0;0.016;0.016;0.27;0;0.048;0.016;0.016;0;0.127;0;0.079;0.19;0.016;0.127
"Eljif Elmas";0;0.115;0;0;0.231;0.115;0;0;0.154;0;0.038;0.115;0.077;0.077;0.038;0.038
"Giacomo Raspadori";0;0;0.083;0;0;0;0;0;0.417;0;0.083;0;0.083;0.083;0.167;0.083
"Giovanni Di Lorenzo";0.018;0.158;0.088;0.035;0;0;0.123;0.018;0;0;0.018;0;0.298;0.018;0.14;0.088
"Giovanni Simeone";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Jens Cajuste";0;0.167;0;0;0.417;0;0;0;0.083;0;0.083;0;0;0;0.083;0.167
"Jesper Lindstrom";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Khvicha Kvaratskhelia";0;0;0.053;0.053;0.026;0.026;0;0;0;0;0.289;0.053;0;0.026;0.237;0.237
"Leo Ostigard";0;0;0;0;0;0;0;0.5;0;0;0;0.5;0;0;0;0
"Mario Rui";0;0.039;0;0.052;0;0;0.013;0;0.234;0;0;0;0;0.221;0.26;0.182
"Mathias Olivera";0.067;0.067;0.133;0;0;0.133;0;0;0.267;0.067;0;0;0;0.2;0;0.067
"Matteo Politano";0.05;0;0.1;0.05;0.45;0;0.05;0;0;0;0;0;0;0.05;0.05;0.2
"Natan";0.032;0.387;0.048;0;0.081;0.016;0.016;0;0.016;0;0.306;0.032;0;0;0.032;0.032
"Piotr Zielinski";0;0.045;0;0.023;0.159;0;0;0;0.273;0;0.318;0;0.023;0.045;0;0.114
"Stanislav Lobotka";0;0.137;0.098;0.078;0.098;0.02;0.078;0;0.059;0;0.216;0.039;0.02;0.078;0.078;0
