"";"Alexander Isak";"Anthony Gordon";"Bruno Guimaraes";"Callum Wilson";"Dan Burn";"Fabian Schar";"Jacob Murphy";"Jamaal Lascelles";"Joe Willock";"Joelinton";"Kieran Trippier";"Matt Targett";"Miguel Almiron";"Nick Pope";"Sandro Tonali";"Sean Longstaff"
"Alexander Isak";0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0
"Anthony Gordon";0;0;0.192;0.077;0.038;0;0;0.038;0.077;0.192;0.077;0.077;0.192;0;0;0.038
"Bruno Guimaraes";0;0;0;0.049;0.049;0.122;0;0.146;0.024;0.073;0.195;0.073;0.195;0;0.049;0.024
"Callum Wilson";0;0.4;0.2;0;0;0;0;0;0;0;0.2;0;0;0;0.2;0
"Dan Burn";0;0.296;0.037;0.037;0;0.333;0;0;0;0.259;0.037;0;0;0;0;0
"Fabian Schar";0;0.057;0.075;0;0.283;0;0;0.151;0;0.057;0.132;0.113;0.075;0.038;0;0.019
"Jacob Murphy";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Jamaal Lascelles";0.02;0.041;0.082;0;0;0.245;0;0;0;0.041;0.306;0.061;0;0.061;0.061;0.082
"Joe Willock";0;0.556;0.222;0;0;0;0;0.111;0;0;0;0.111;0;0;0;0
"Joelinton";0;0.208;0.333;0.042;0.125;0.083;0;0;0;0;0.042;0;0.083;0;0;0.083
"Kieran Trippier";0;0.034;0.136;0.017;0;0.136;0.034;0.203;0.017;0.034;0;0;0.153;0.068;0.102;0.068
"Matt Targett";0;0.364;0.182;0;0;0.136;0;0.045;0.273;0;0;0;0;0;0;0
"Miguel Almiron";0.069;0.138;0.207;0.069;0;0;0;0.034;0.034;0.034;0.31;0;0;0;0.034;0.069
"Nick Pope";0;0.045;0;0.045;0.045;0.273;0;0.409;0.045;0.045;0.091;0;0;0;0;0
"Sandro Tonali";0;0;0;0;0;0;0;0.1;0;0;0.7;0;0.2;0;0;0
"Sean Longstaff";0;0;0.133;0.067;0;0.267;0;0.067;0;0;0.267;0;0.133;0.067;0;0
