"";"Anthony Gordon";"Bruno Guimaraes";"Callum Wilson";"Fabian Schar";"Jamaal Lascelles";"Joe Willock";"Joelinton";"Kieran Trippier";"Lewis Hall";"Miguel Almiron";"Nick Pope";"Sean Longstaff";"Tino Livramento"
"Anthony Gordon";0;0;0;0.167;0;0;0.167;0.167;0;0.167;0;0.333;0
"Bruno Guimaraes";0;0;0;0.114;0.086;0;0.171;0.314;0.057;0;0;0.114;0.143
"Callum Wilson";0;0;0;0;0;0;0;1;0;0;0;0;0
"Fabian Schar";0.02;0.102;0;0;0.082;0.102;0.082;0.265;0.143;0.02;0.02;0.061;0.102
"Jamaal Lascelles";0;0.098;0;0.341;0;0.049;0.024;0.244;0;0.073;0;0.073;0.098
"Joe Willock";0.053;0.105;0;0.158;0.053;0;0.316;0.263;0.053;0;0;0;0
"Joelinton";0.062;0.219;0;0.031;0;0.312;0;0.125;0.062;0.094;0;0.062;0.031
"Kieran Trippier";0.017;0.133;0.033;0.117;0.183;0.067;0.167;0;0.017;0.1;0;0.117;0.05
"Lewis Hall";0;0.231;0;0.308;0;0.154;0.231;0.077;0;0;0;0;0
"Miguel Almiron";0;0.167;0;0.083;0.167;0.167;0.083;0;0;0;0;0.25;0.083
"Nick Pope";0;0;0;0.444;0;0;0;0.222;0;0;0;0;0.333
"Sean Longstaff";0;0.083;0;0.042;0.167;0;0;0.25;0.042;0.083;0.042;0;0.292
"Tino Livramento";0.16;0.04;0;0.12;0.24;0;0.08;0;0;0.2;0;0.16;0
