"";"Alexander Isak";"Anthony Gordon";"Bruno Guimaraes";"Callum Wilson";"Dan Burn";"Elliot Anderson";"Fabian Schar";"Jacob Murphy";"Kieran Trippier";"Miguel Almiron";"Nick Pope";"Sandro Tonali";"Sean Longstaff";"Sven Botman"
"Alexander Isak";0;0.154;0;0;0.077;0;0;0.154;0.154;0.077;0;0.154;0.154;0.077
"Anthony Gordon";0.111;0;0.333;0;0.111;0;0;0.111;0.222;0;0;0.111;0;0
"Bruno Guimaraes";0;0;0;0.034;0.069;0.034;0.103;0;0.138;0.069;0.034;0.034;0.172;0.31
"Callum Wilson";0;0;0.2;0;0;0.2;0;0;0.2;0.2;0;0;0;0.2
"Dan Burn";0.143;0.381;0.095;0;0;0;0;0;0;0;0.048;0.238;0.048;0.048
"Elliot Anderson";0.4;0;0.2;0;0;0;0;0;0;0;0.2;0;0.2;0
"Fabian Schar";0.051;0;0.077;0;0;0;0;0.103;0.308;0;0.026;0;0.128;0.308
"Jacob Murphy";0.154;0.077;0.077;0;0;0;0;0;0.538;0;0;0.077;0.077;0
"Kieran Trippier";0.089;0.036;0.089;0.071;0.018;0.018;0.143;0.125;0;0.036;0.036;0.018;0.286;0.036
"Miguel Almiron";0.143;0;0.143;0;0;0.143;0.143;0;0.143;0;0;0;0.286;0
"Nick Pope";0.059;0;0;0;0.059;0;0.647;0;0.059;0;0;0;0;0.176
"Sandro Tonali";0.167;0;0.167;0;0.333;0;0.167;0.167;0;0;0;0;0;0
"Sean Longstaff";0.029;0.029;0.171;0;0.029;0;0.143;0.143;0.286;0.086;0;0.029;0;0.057
"Sven Botman";0.114;0.029;0.086;0;0.171;0.029;0.257;0.029;0.114;0;0.086;0;0.086;0
