"";"Anthony Racioppi";"Aurele Amenda";"Cedric Itten";"Cheikh Niasse";"Filip Ugrinic";"Loris Benito";"Meschack Elia";"Mohamed Ali Camara";"Noah Persson";"Saidy Janko";"Sandro Lauper";"Silvere Ganvoula";"Ulisses Garcia"
"Anthony Racioppi";0;0.083;0;0.25;0.042;0.083;0;0.292;0;0.042;0.125;0;0.083
"Aurele Amenda";0.312;0;0.062;0;0.062;0.062;0;0.188;0;0.188;0.062;0.062;0
"Cedric Itten";0;0;0;0.667;0;0;0.167;0;0;0.167;0;0;0
"Cheikh Niasse";0.042;0;0;0;0.125;0.208;0;0.083;0.083;0.083;0.042;0;0.333
"Filip Ugrinic";0.04;0.04;0.04;0.2;0;0.16;0.04;0.04;0.12;0.04;0;0;0.28
"Loris Benito";0.3;0;0;0.133;0.133;0;0.033;0.067;0.1;0;0.1;0;0.133
"Meschack Elia";0;0;0;0;0.333;0.167;0;0;0;0.333;0.167;0;0
"Mohamed Ali Camara";0.286;0.238;0.048;0.048;0;0.238;0.095;0;0;0.048;0;0;0
"Noah Persson";0;0;0;0.5;0.333;0.167;0;0;0;0;0;0;0
"Saidy Janko";0.2;0.2;0;0.2;0.2;0;0.2;0;0;0;0;0;0
"Sandro Lauper";0.091;0.091;0.091;0;0.091;0.273;0;0.273;0;0;0;0;0.091
"Silvere Ganvoula";0;0.333;0;0.333;0.333;0;0;0;0;0;0;0;0
"Ulisses Garcia";0;0;0.095;0.19;0.143;0.286;0.048;0.143;0;0;0.095;0;0
