"";"Aihen Munoz";"Alex Remiro";"Ander Barrene";"Brais Mendez";"Hamari Traore";"Igor Zubeldia";"Jon Pacheco";"Kieran Tierney";"Martin Zubimendi";"Mikel Merino";"Mikel Oyarzabal";"Mohamed Cho";"Robin Le Normand";"Takefusa Kubo";"Umar Sadiq"
"Aihen Munoz";0;0;0;0.2;0;0;0;0;0;0.4;0.2;0;0;0;0.2
"Alex Remiro";0;0;0;0;0;0.3;0;0.1;0;0.3;0;0;0.3;0;0
"Ander Barrene";0;0;0;0.125;0.062;0.062;0;0;0.25;0.375;0;0;0;0.125;0
"Brais Mendez";0;0;0.062;0;0.312;0.188;0;0;0;0.125;0;0;0.125;0.188;0
"Hamari Traore";0;0.053;0;0.184;0;0.211;0.026;0.026;0.079;0.053;0.026;0;0.026;0.289;0.026
"Igor Zubeldia";0;0.241;0;0;0.241;0;0;0.103;0;0.069;0;0;0.31;0.034;0
"Jon Pacheco";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Kieran Tierney";0;0.211;0.211;0;0;0;0;0;0.053;0.158;0.158;0;0.211;0;0
"Martin Zubimendi";0;0.036;0.071;0.143;0.107;0.071;0;0.036;0;0.357;0;0;0.071;0.107;0
"Mikel Merino";0.056;0.028;0.194;0.028;0.139;0.083;0;0.111;0.111;0;0.139;0.083;0.028;0;0
"Mikel Oyarzabal";0;0.1;0;0.4;0;0;0;0;0.1;0.2;0;0;0.1;0.1;0
"Mohamed Cho";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Robin Le Normand";0;0.143;0.036;0.036;0.071;0.179;0.036;0.25;0.107;0.071;0;0;0;0.036;0.036
"Takefusa Kubo";0;0;0.176;0.118;0.235;0.059;0;0;0.176;0.118;0.059;0;0.059;0;0
"Umar Sadiq";0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0
