"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Caglar Soyuncu";"Cesar Azpilicueta";"Jan Oblak";"Jose Gimenez";"Koke";"Marcos Llorente";"Mario Hermoso";"Nahuel Molina";"Pablo Barrios ";"Rodrigo Riquelme";"Samuel Lino";"Saul Niguez"
"Alvaro Morata";0;0.067;0.267;0;0.067;0;0;0;0;0;0.133;0.133;0.133;0.067;0.133;0
"Angel Correa";0.069;0;0.138;0;0;0.103;0;0;0.172;0.103;0;0.172;0.138;0.103;0;0
"Antoine Griezmann";0.022;0.089;0;0;0;0;0;0.067;0.178;0;0.289;0.067;0.089;0.2;0;0
"Axel Witsel";0;0.043;0.011;0;0.033;0.163;0.022;0.12;0.141;0.043;0.076;0.272;0.054;0;0;0.022
"Caglar Soyuncu";0;0;0;0.118;0;0;0.059;0;0.176;0;0.529;0;0;0;0.059;0.059
"Cesar Azpilicueta";0;0.029;0;0.235;0.029;0;0;0.029;0.324;0.294;0;0;0;0;0.029;0.029
"Jan Oblak";0;0.167;0;0.167;0;0;0;0.167;0;0;0.167;0.167;0;0;0.167;0
"Jose Gimenez";0.023;0;0.023;0.326;0;0;0;0;0.163;0;0.279;0.047;0.023;0.07;0.047;0
"Koke";0.009;0.026;0.104;0.235;0.026;0.078;0;0.035;0;0.104;0.217;0.061;0.052;0;0.026;0.026
"Marcos Llorente";0;0.182;0.03;0.212;0;0.091;0;0;0.333;0;0.061;0.061;0;0;0;0.03
"Mario Hermoso";0.058;0;0.135;0.048;0.038;0;0;0.144;0.231;0.01;0;0.01;0.01;0.154;0.125;0.038
"Nahuel Molina";0.033;0.197;0.033;0.23;0;0;0.033;0;0.213;0.115;0;0;0.131;0.016;0;0
"Pablo Barrios ";0.038;0.154;0.077;0.231;0;0;0;0;0.192;0;0.115;0.154;0;0.038;0;0
"Rodrigo Riquelme";0.032;0.097;0.484;0;0;0;0;0;0.097;0;0.258;0;0.032;0;0;0
"Samuel Lino";0.074;0;0;0;0.074;0.037;0;0.074;0.185;0;0.37;0;0;0;0;0.185
"Saul Niguez";0.118;0.059;0;0.118;0.059;0;0;0;0.118;0;0.353;0.059;0;0;0.118;0
