"";"Alexander Isak";"Anthony Gordon";"Bruno Guimaraes";"Callum Wilson";"Dan Burn";"Fabian Schar";"Jamaal Lascelles";"Joelinton";"Kieran Trippier";"Lewis Miley";"Martin Dubravka";"Miguel Almiron";"Sean Longstaff";"Tino Livramento"
"Alexander Isak";0;0;0.182;0;0.091;0.091;0.091;0.455;0;0.091;0;0;0;0
"Anthony Gordon";0;0;0.133;0.067;0;0.067;0.067;0.2;0;0.2;0;0.067;0;0.2
"Bruno Guimaraes";0.035;0.053;0;0;0.018;0.175;0.14;0.158;0.035;0.07;0.035;0.105;0.053;0.123
"Callum Wilson";0;0.167;0.167;0;0;0;0.167;0;0;0;0;0.167;0;0.333
"Dan Burn";0.385;0;0.231;0;0;0.077;0;0.154;0;0;0;0;0.077;0.077
"Fabian Schar";0.05;0.125;0.1;0;0.05;0;0.1;0.1;0.05;0.025;0.225;0.05;0;0.125
"Jamaal Lascelles";0.026;0;0.077;0.026;0;0.231;0;0.051;0.051;0.179;0.154;0.128;0.051;0.026
"Joelinton";0.071;0.024;0.357;0.071;0.048;0.071;0.024;0;0.048;0.024;0;0.167;0.048;0.048
"Kieran Trippier";0;0;0.2;0;0;0.067;0.167;0.067;0;0.067;0.1;0.3;0;0.033
"Lewis Miley";0;0;0.077;0.077;0;0.115;0.077;0.077;0.192;0;0;0.385;0;0
"Martin Dubravka";0;0;0.091;0;0.045;0.364;0.227;0;0.136;0;0;0;0.091;0.045
"Miguel Almiron";0.03;0.03;0.333;0;0;0.03;0.03;0.152;0.121;0.182;0;0;0.03;0.061
"Sean Longstaff";0.091;0;0.182;0;0;0.091;0;0;0;0;0;0.273;0;0.364
"Tino Livramento";0;0.225;0.175;0.075;0;0.1;0.1;0.175;0;0.075;0.025;0.05;0;0
